Mnemonic:  EPS_PDAN_V_BAT
Conversion:  Default (EU)
Units:  Volts
Stream:  az1_rt1@bkusvr2
X Time,Y Value,Type,Status,Count
2024-Aug-29-10:00:00.000,34.3130618910889,Arch-hour/Average, ,-,
2024-Aug-29-11:00:00.000,34.3130618910889,Arch-hour/Average, ,-,
2024-Aug-29-11:00:00.000,34.3136977958679,Arch-hour/Average, ,-,
2024-Aug-29-12:00:00.000,34.3136977958679,Arch-hour/Average, ,-,
2024-Aug-29-12:00:00.000,34.3153956985474,Arch-hour/Average, ,-,
2024-Aug-29-13:00:00.000,34.3153956985474,Arch-hour/Average, ,-,
2024-Aug-29-13:00:00.000,34.3181750679016,Arch-hour/Average, ,-,
2024-Aug-29-14:00:00.000,34.3181750679016,Arch-hour/Average, ,-,
2024-Aug-29-14:00:00.000,34.3203704452515,Arch-hour/Average, ,-,
2024-Aug-29-15:00:00.000,34.3203704452515,Arch-hour/Average, ,-,
2024-Aug-29-15:00:00.000,34.3244583892822,Arch-hour/Average, ,-,
2024-Aug-29-16:00:00.000,34.3244583892822,Arch-hour/Average, ,-,
2024-Aug-29-16:00:00.000,34.3258318519592,Arch-hour/Average, ,-,
2024-Aug-29-17:00:00.000,34.3258318519592,Arch-hour/Average, ,-,
2024-Aug-29-17:00:00.000,34.3267294692993,Arch-hour/Average, ,-,
2024-Aug-29-18:00:00.000,34.3267294692993,Arch-hour/Average, ,-,
2024-Aug-29-18:00:00.000,34.3269142804591,Arch-hour/Average, ,-,
2024-Aug-29-19:00:00.000,34.3269142804591,Arch-hour/Average, ,-,
2024-Aug-29-19:00:00.000,34.3278866386414,Arch-hour/Average, ,-,
2024-Aug-29-20:00:00.000,34.3278866386414,Arch-hour/Average, ,-,
2024-Aug-29-20:00:00.000,34.3282651519775,Arch-hour/Average, ,-,
2024-Aug-29-21:00:00.000,34.3282651519775,Arch-hour/Average, ,-,
2024-Aug-29-21:00:00.000,34.3289464759827,Arch-hour/Average, ,-,
2024-Aug-29-22:00:00.000,34.3289464759827,Arch-hour/Average, ,-,
2024-Aug-29-22:00:00.000,34.3289464759827,Arch-hour/Average, ,-,
2024-Aug-29-23:00:00.000,34.3289464759827,Arch-hour/Average, ,-,
2024-Aug-29-23:00:00.000,34.3292384719849,Arch-hour/Average, ,-,
2024-Aug-30-00:00:00.000,34.3292384719849,Arch-hour/Average, ,-,
2024-Aug-30-00:00:00.000,34.3283084106445,Arch-hour/Average, ,-,Arch-hour/Average SB
2024-Aug-30-01:00:00.000,34.3283084106445,Arch-hour/Average, ,-,
2024-Aug-30-01:00:00.000,34.3275405693054,Arch-hour/Average, ,-,
2024-Aug-30-02:00:00.000,34.3275405693054,Arch-hour/Average, ,-,
2024-Aug-30-02:00:00.000,34.3291195106506,Arch-hour/Average, ,-,
2024-Aug-30-03:00:00.000,34.3291195106506,Arch-hour/Average, ,-,
2024-Aug-30-03:00:00.000,34.3286652946472,Arch-hour/Average, ,-,
2024-Aug-30-04:00:00.000,34.3286652946472,Arch-hour/Average, ,-,
2024-Aug-30-04:00:00.000,34.3252046012878,Arch-hour/Average, ,-,
2024-Aug-30-05:00:00.000,34.3252046012878,Arch-hour/Average, ,-,
2024-Aug-30-05:00:00.000,34.3214519119263,Arch-hour/Average, ,-,
2024-Aug-30-06:00:00.000,34.3214519119263,Arch-hour/Average, ,-,
2024-Aug-30-06:00:00.000,34.3183331179658,Arch-hour/Average, ,-,
2024-Aug-30-07:00:00.000,34.3183331179658,Arch-hour/Average, ,-,
2024-Aug-30-07:00:00.000,34.3157525825500,Arch-hour/Average, ,-,
2024-Aug-30-08:00:00.000,34.3157525825500,Arch-hour/Average, ,-,
2024-Aug-30-08:00:00.000,34.3129407691956,Arch-hour/Average, ,-,
2024-Aug-30-09:00:00.000,34.3129407691956,Arch-hour/Average, ,-,
2024-Aug-30-09:00:00.000,34.3131354331970,Arch-hour/Average, ,-,
2024-Aug-30-10:00:00.000,34.3131354331970,Arch-hour/Average, ,-,
2024-Aug-30-10:00:00.000,34.3134598731995,Arch-hour/Average, ,-,
2024-Aug-30-11:00:00.000,34.3134598731995,Arch-hour/Average, ,-,
2024-Aug-30-11:00:00.000,34.3149739265442,Arch-hour/Average, ,-,
2024-Aug-30-12:00:00.000,34.3149739265442,Arch-hour/Average, ,-,
2024-Aug-30-12:00:00.000,34.3146819305420,Arch-hour/Average, ,-,
2024-Aug-30-13:00:00.000,34.3146819305420,Arch-hour/Average, ,-,
2024-Aug-30-13:00:00.000,34.3179155158997,Arch-hour/Average, ,-,
2024-Aug-30-14:00:00.000,34.3179155158997,Arch-hour/Average, ,-,
2024-Aug-30-14:00:00.000,34.3218196105957,Arch-hour/Average, ,-,
2024-Aug-30-15:00:00.000,34.3218196105957,Arch-hour/Average, ,-,
2024-Aug-30-15:00:00.000,34.3255614852905,Arch-hour/Average, ,-,
2024-Aug-30-16:00:00.000,34.3255614852905,Arch-hour/Average, ,-,
2024-Aug-30-16:00:00.000,34.3267510986328,Arch-hour/Average, ,-,
2024-Aug-30-17:00:00.000,34.3267510986328,Arch-hour/Average, ,-,
2024-Aug-30-17:00:00.000,34.3285571479797,Arch-hour/Average, ,-,
2024-Aug-30-18:00:00.000,34.3285571479797,Arch-hour/Average, ,-,
2024-Aug-30-18:00:00.000,34.3292684058564,Arch-hour/Average, ,-,
2024-Aug-30-19:00:00.000,34.3292684058564,Arch-hour/Average, ,-,
2024-Aug-30-19:00:00.000,34.3295737266541,Arch-hour/Average, ,-,
2024-Aug-30-20:00:00.000,34.3295737266541,Arch-hour/Average, ,-,
2024-Aug-30-20:00:00.000,34.2421231985092,Arch-hour/Average, ,-,
2024-Aug-30-21:00:00.000,34.2421231985092,Arch-hour/Average, ,-,
2024-Aug-30-21:00:00.000,34.0107530137050,Arch-hour/Average, ,-,
2024-Aug-30-22:00:00.000,34.0107530137050,Arch-hour/Average, ,-,
2024-Aug-30-22:00:00.000,34.2516897931511,Arch-hour/Average, ,-,
2024-Aug-30-23:00:00.000,34.2516897931511,Arch-hour/Average, ,-,
2024-Aug-30-23:00:00.000,34.6357486235065,Arch-hour/Average, ,-,
2024-Aug-31-00:00:00.000,34.6357486235065,Arch-hour/Average, ,-,
2024-Aug-31-00:00:00.000,34.9113414896270,Arch-hour/Average, ,-,Arch-hour/Average SB
2024-Aug-31-01:00:00.000,34.9113414896270,Arch-hour/Average, ,-,
2024-Aug-31-01:00:00.000,35.1515284578300,Arch-hour/Average, ,-,
2024-Aug-31-02:00:00.000,35.1515284578300,Arch-hour/Average, ,-,
2024-Aug-31-02:00:00.000,35.3884676676919,Arch-hour/Average, ,-,
2024-Aug-31-03:00:00.000,35.3884676676919,Arch-hour/Average, ,-,
2024-Aug-31-03:00:00.000,35.6313644450634,Arch-hour/Average, ,-,
2024-Aug-31-04:00:00.000,35.6313644450634,Arch-hour/Average, ,-,
2024-Aug-31-04:00:00.000,35.9060910297912,Arch-hour/Average, ,-,
2024-Aug-31-05:00:00.000,35.9060910297912,Arch-hour/Average, ,-,
2024-Aug-31-05:00:00.000,36.1390101651792,Arch-hour/Average, ,-,
2024-Aug-31-06:00:00.000,36.1390101651792,Arch-hour/Average, ,-,
2024-Aug-31-06:00:00.000,36.1428265380859,Arch-hour/Average, ,-,
2024-Aug-31-07:00:00.000,36.1428265380859,Arch-hour/Average, ,-,
2024-Aug-31-07:00:00.000,36.1392963584779,Arch-hour/Average, ,-,
2024-Aug-31-08:00:00.000,36.1392963584779,Arch-hour/Average, ,-,
2024-Aug-31-08:00:00.000,36.1377604623162,Arch-hour/Average, ,-,
2024-Aug-31-09:00:00.000,36.1377604623162,Arch-hour/Average, ,-,
2024-Aug-31-09:00:00.000,36.1368292045593,Arch-hour/Average, ,-,
2024-Aug-31-10:00:00.000,36.1368292045593,Arch-hour/Average, ,-,
2024-Aug-31-10:00:00.000,36.1382134819031,Arch-hour/Average, ,-,
2024-Aug-31-11:00:00.000,36.1382134819031,Arch-hour/Average, ,-,
2024-Aug-31-11:00:00.000,36.1397491645813,Arch-hour/Average, ,-,
2024-Aug-31-12:00:00.000,36.1397491645813,Arch-hour/Average, ,-,
2024-Aug-31-12:00:00.000,36.1394571685791,Arch-hour/Average, ,-,
2024-Aug-31-13:00:00.000,36.1394571685791,Arch-hour/Average, ,-,
2024-Aug-31-13:00:00.000,36.1397924232483,Arch-hour/Average, ,-,
2024-Aug-31-14:00:00.000,36.1397924232483,Arch-hour/Average, ,-,
2024-Aug-31-14:00:00.000,36.1431449699402,Arch-hour/Average, ,-,
2024-Aug-31-15:00:00.000,36.1431449699402,Arch-hour/Average, ,-,
2024-Aug-31-15:00:00.000,36.1430584526062,Arch-hour/Average, ,-,
2024-Aug-31-16:00:00.000,36.1430584526062,Arch-hour/Average, ,-,
2024-Aug-31-16:00:00.000,36.1427142372990,Arch-hour/Average, ,-,
2024-Aug-31-17:00:00.000,36.1427142372990,Arch-hour/Average, ,-,
2024-Aug-31-17:00:00.000,36.1431665992737,Arch-hour/Average, ,-,
2024-Aug-31-18:00:00.000,36.1431665992737,Arch-hour/Average, ,-,
2024-Aug-31-18:00:00.000,36.1428891205471,Arch-hour/Average, ,-,
2024-Aug-31-19:00:00.000,36.1428891205471,Arch-hour/Average, ,-,
2024-Aug-31-19:00:00.000,36.1449402046204,Arch-hour/Average, ,-,
2024-Aug-31-20:00:00.000,36.1449402046204,Arch-hour/Average, ,-,
2024-Aug-31-20:00:00.000,35.8968883796269,Arch-hour/Average, ,-,
2024-Aug-31-21:00:00.000,35.8968883796269,Arch-hour/Average, ,-,
2024-Aug-31-21:00:00.000,35.3096453147807,Arch-hour/Average, ,-,
2024-Aug-31-22:00:00.000,35.3096453147807,Arch-hour/Average, ,-,
2024-Aug-31-22:00:00.000,35.5429627920663,Arch-hour/Average, ,-,
2024-Aug-31-23:00:00.000,35.5429627920663,Arch-hour/Average, ,-,
2024-Aug-31-23:00:00.000,35.8611206450286,Arch-hour/Average, ,-,
2024-Sep-01-00:00:00.000,35.8611206450286,Arch-hour/Average, ,-,
2024-Sep-01-00:00:00.000,36.1282817171827,Arch-hour/Average, ,-,Arch-hour/Average SB
2024-Sep-01-01:00:00.000,36.1282817171827,Arch-hour/Average, ,-,
2024-Sep-01-01:00:00.000,36.1463694380003,Arch-hour/Average, ,-,
2024-Sep-01-02:00:00.000,36.1463694380003,Arch-hour/Average, ,-,
2024-Sep-01-02:00:00.000,36.1374729092390,Arch-hour/Average, ,-,
2024-Sep-01-03:00:00.000,36.1374729092390,Arch-hour/Average, ,-,
2024-Sep-01-03:00:00.000,36.0933444746929,Arch-hour/Average, ,-,
2024-Sep-01-04:00:00.000,36.0933444746929,Arch-hour/Average, ,-,
2024-Sep-01-04:00:00.000,36.1228893046909,Arch-hour/Average, ,-,
2024-Sep-01-05:00:00.000,36.1228893046909,Arch-hour/Average, ,-,
2024-Sep-01-05:00:00.000,36.1401276779175,Arch-hour/Average, ,-,
2024-Sep-01-06:00:00.000,36.1401276779175,Arch-hour/Average, ,-,
2024-Sep-01-06:00:00.000,36.1397441017107,Arch-hour/Average, ,-,
2024-Sep-01-07:00:00.000,36.1397441017107,Arch-hour/Average, ,-,
2024-Sep-01-07:00:00.000,36.1373915672302,Arch-hour/Average, ,-,
2024-Sep-01-08:00:00.000,36.1373915672302,Arch-hour/Average, ,-,
2024-Sep-01-08:00:00.000,36.1376511192322,Arch-hour/Average, ,-,
2024-Sep-01-09:00:00.000,36.1376511192322,Arch-hour/Average, ,-,
2024-Sep-01-09:00:00.000,36.1378674125671,Arch-hour/Average, ,-,
2024-Sep-01-10:00:00.000,36.1378674125671,Arch-hour/Average, ,-,
2024-Sep-01-10:00:00.000,36.1378890419006,Arch-hour/Average, ,-,
2024-Sep-01-11:00:00.000,36.1378890419006,Arch-hour/Average, ,-,
2024-Sep-01-11:00:00.000,36.1380837059021,Arch-hour/Average, ,-,
2024-Sep-01-12:00:00.000,36.1380837059021,Arch-hour/Average, ,-,
2024-Sep-01-12:00:00.000,36.1398789405823,Arch-hour/Average, ,-,
2024-Sep-01-13:00:00.000,36.1398789405823,Arch-hour/Average, ,-,
2024-Sep-01-13:00:00.000,36.1401276779175,Arch-hour/Average, ,-,
