date,device,failure,metric1
2024-Aug-28-15:00:00.000,EPS_PDAN_V_BAT,0,33.3679636995292
2024-Aug-28-16:00:00.000,EPS_PDAN_V_BAT,0,33.3679636995292
2024-Aug-28-16:00:00.000,EPS_PDAN_V_BAT,0,33.6408827431439
2024-Aug-28-17:00:00.000,EPS_PDAN_V_BAT,0,33.6408827431439
2024-Aug-28-17:00:00.000,EPS_PDAN_V_BAT,0,33.9507388706061
2024-Aug-28-18:00:00.000,EPS_PDAN_V_BAT,0,33.9507388706061
2024-Aug-28-18:00:00.000,EPS_PDAN_V_BAT,0,34.2713547011418
2024-Aug-28-19:00:00.000,EPS_PDAN_V_BAT,0,34.2713547011418
2024-Aug-28-19:00:00.000,EPS_PDAN_V_BAT,0,34.4101315849532
2024-Aug-28-20:00:00.000,EPS_PDAN_V_BAT,0,34.4101315849532
2024-Aug-28-20:00:00.000,EPS_PDAN_V_BAT,0,34.4008053278519
2024-Aug-28-21:00:00.000,EPS_PDAN_V_BAT,0,34.4008053278519
2024-Aug-28-21:00:00.000,EPS_PDAN_V_BAT,0,34.3995013618469
2024-Aug-28-22:00:00.000,EPS_PDAN_V_BAT,0,34.3995013618469
2024-Aug-28-22:00:00.000,EPS_PDAN_V_BAT,0,34.3984198951721
2024-Aug-28-23:00:00.000,EPS_PDAN_V_BAT,0,34.3984198951721
2024-Aug-28-23:00:00.000,EPS_PDAN_V_BAT,0,34.3968950271606
2024-Aug-29-00:00:00.000,EPS_PDAN_V_BAT,0,34.3968950271606
2024-Aug-29-00:00:00.000,EPS_PDAN_V_BAT,0,34.3943319511414
2024-Aug-29-01:00:00.000,EPS_PDAN_V_BAT,0,34.3943319511414
2024-Aug-29-01:00:00.000,EPS_PDAN_V_BAT,0,34.3922879791260
2024-Aug-29-02:00:00.000,EPS_PDAN_V_BAT,0,34.3922879791260
2024-Aug-29-02:00:00.000,EPS_PDAN_V_BAT,0,34.3929368591309
2024-Aug-29-03:00:00.000,EPS_PDAN_V_BAT,0,34.3929368591309
2024-Aug-29-03:00:00.000,EPS_PDAN_V_BAT,0,34.3945806884766
2024-Aug-29-04:00:00.000,EPS_PDAN_V_BAT,0,34.3945806884766
2024-Aug-29-04:00:00.000,EPS_PDAN_V_BAT,0,34.3922808475453
2024-Aug-29-05:00:00.000,EPS_PDAN_V_BAT,0,34.3922808475453
2024-Aug-29-05:00:00.000,EPS_PDAN_V_BAT,0,34.3926046490520
2024-Aug-29-06:00:00.000,EPS_PDAN_V_BAT,0,34.3926046490520
2024-Aug-29-06:00:00.000,EPS_PDAN_V_BAT,0,34.3708460998535
2024-Aug-29-07:00:00.000,EPS_PDAN_V_BAT,0,34.3708460998535
2024-Aug-29-07:00:00.000,EPS_PDAN_V_BAT,0,34.3159748840332
2024-Aug-29-08:00:00.000,EPS_PDAN_V_BAT,0,34.3159748840332
2024-Aug-29-08:00:00.000,EPS_PDAN_V_BAT,0,34.3159994478391
2024-Aug-29-09:00:00.000,EPS_PDAN_V_BAT,0,34.3159994478391
2024-Aug-29-09:00:00.000,EPS_PDAN_V_BAT,0,34.3132435798645
2024-Aug-29-10:00:00.000,EPS_PDAN_V_BAT,0,34.3132435798645
2024-Aug-29-10:00:00.000,EPS_PDAN_V_BAT,0,34.3130618910889
2024-Aug-29-11:00:00.000,EPS_PDAN_V_BAT,0,34.3130618910889
2024-Aug-29-11:00:00.000,EPS_PDAN_V_BAT,0,34.3136977958679
2024-Aug-29-12:00:00.000,EPS_PDAN_V_BAT,0,34.3136977958679
2024-Aug-29-12:00:00.000,EPS_PDAN_V_BAT,0,34.3153956985474
2024-Aug-29-13:00:00.000,EPS_PDAN_V_BAT,0,34.3153956985474
2024-Aug-29-13:00:00.000,EPS_PDAN_V_BAT,0,34.3181750679016
2024-Aug-29-14:00:00.000,EPS_PDAN_V_BAT,0,34.3181750679016
2024-Aug-29-14:00:00.000,EPS_PDAN_V_BAT,0,34.3203704452515
